player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Dániel Gazdag,HUN,0,0.0,0,1,100.0,1.0
Seth Antwi,GHA,0,0.0,0,3,85.5,1.0
Sergio Rochet,URU,0,0.0,0,6,90.0,1.0
Salis Abdul Samed,GHA,0,0.0,0,3,100.0,1.0
Ryan Porteous,SCO,0,0.0,0,1,100.0,1.0
Ryan Christie,SCO,0,0.0,0,3,100.0,1.0
Manfred Ugalde,CRC,0,0.0,0,2,100.0,1.0
Oumar Gonzalez,CMR,0,0.0,0,2,100.0,1.0
Osman Bukari,GHA,0,0.0,0,2,100.0,1.0
Bartosz Slisz,POL,0,0.0,0,2,100.0,1.0
Bartosz Bereszyński,POL,0,0.0,0,1,100.0,1.0
Bart Verbruggen,NED,0,0.0,0,6,100.0,1.0
Przemysław Frankowski,POL,0,0.0,0,3,100.0,1.0
Predrag Rajković,SRB,0,0.0,0,3,100.0,1.0
Phillipp Mwene,AUT,0,0.0,0,3,96.3,1.0
Denis Zakaria,SUI,0,0.0,0,1,85.5,1.0
Anthony Gordon,ENG,0,0.0,0,1,100.0,1.0
Illia Zabarnyi,UKR,0,0.0,0,3,100.0,1.0
George Pușcaș,ROU,0,0.0,0,2,85.5,1.0
Gabriel Suazo,CHI,0,0.0,0,1,85.5,1.0
Evanilson,BRA,0,0.0,0,1,90.0,1.0
Fodé Ballo-Touré,SEN,0,0.0,0,1,93.8,1.0
Guillermo Maripán,CHI,0,0.0,0,1,85.5,1.0
Guido Rodríguez,ARG,0,0.0,0,1,100.0,1.0
Fabian Schär,SUI,1,1.0,6,5,85.5,1.0
Andriy Lunin,UKR,0,0.0,0,1,100.0,1.0
Andrew Robertson,SCO,0,0.0,0,3,100.0,1.0
Edouard Mendy,SEN,0,0.0,0,4,100.0,1.0
Éderson,BRA,0,0.0,0,1,90.0,1.0
Łukasz Skorupski,POL,0,0.0,0,1,100.0,1.0
Luka Ivanušec,CRO,0,0.0,0,1,100.0,1.0
Luis Abram,PER,0,0.0,0,1,85.5,1.0
André Ayew,GHA,0,0.0,0,2,90.0,1.0
Anatolii Trubin,UKR,0,0.0,0,2,100.0,1.0
Toni Kroos,GER,0,0.15,3,5,100.0,1.0
Gianluigi Donnarumma,ITA,0,0.0,0,4,100.0,1.0
Gianluca Mancini,ITA,0,0.0,0,1,100.0,1.0
Alidu Seidu,GHA,0,0.0,0,1,100.0,1.0
Diego Rubio,CHI,0,0.0,0,1,85.5,1.0
Julio Cascante,CRC,0,0.0,0,1,85.5,1.0
Antonín Barák,CZE,0,0.0,0,3,100.0,1.0
Kervin Andrade,VEN,0,0.0,0,1,85.5,1.0
Kamal Miller,CAN,0,0.0,0,2,100.0,1.0
Leopold Querfeld,AUT,0,0.0,0,1,100.0,1.0
Leonidas Stergiou,SUI,0,0.0,0,3,100.0,1.0
Leo Sauer,SVK,0,0.0,0,1,100.0,1.0
Kyle Walker,ENG,0,0.0,0,7,100.0,1.0
Koen Casteels,BEL,0,0.0,0,4,100.0,1.0
Deniz Undav,GER,0,0.0,0,2,100.0,1.0
Yann Sommer,SUI,0,0.0,0,5,100.0,1.0
Dayne St. Clair,CAN,0,0.0,0,1,85.5,1.0
David Raya,ESP,0,0.0,0,1,90.0,1.0
Kingsley Coman,FRA,0,0.0,0,1,100.0,1.0
Kieran Tierney,SCO,0,0.0,0,2,100.0,1.0
Altay Bayındır,TUR,0,0.0,0,1,100.0,1.0
Stuart Armstrong,SCO,0,0.0,0,1,100.0,1.0
Georginio Wijnaldum,NED,0,0.0,0,3,100.0,1.0
Agustín Canobbio,URU,0,0.0,0,1,95.0,1.0
Samuel Chukwueze,NGA,0,0.12,4,5,85.5,1.0
Stefan de Vrij,NED,1,0.28,4,6,100.0,1.0
Savio,BRA,1,0.77,4,4,90.0,1.0
Scott McTominay,SCO,1,0.25,4,3,100.0,1.0
Andrej Kramarić,CRO,1,0.93,4,3,100.0,1.0
Richie Laryea,CAN,0,0.14,4,6,100.0,1.0
Rodrigo Bentancur,URU,4,1.87,4,6,95.0,1.0
Zeno Debast,BEL,0,0.0,0,2,100.0,1.0
Wout Faes,BEL,0,0.0,0,4,100.0,1.0
Wojciech Szczęsny,POL,0,0.0,0,2,100.0,1.0
Willian Pacho,ECU,0,0.0,0,4,85.5,1.0
Wendell,BRA,0,0.0,0,2,90.0,1.0
Waldemar Anton,GER,0,0.0,0,2,100.0,1.0
Tim Ream,USA,0,0.0,0,3,100.0,1.0
Thomas Strakosha,ALB,0,0.0,0,3,100.0,1.0
Vladimír Coufal,CZE,0,0.0,0,3,100.0,1.0
Leandro Trossard,BEL,0,0.2,4,3,100.0,1.0
Leandro Paredes,ARG,0,0.84,4,3,95.0,1.0
Darwin Machís,VEN,0,0.15,4,3,85.5,1.0
Michael Amir Murillo,PAN,1,0.26,4,4,95.0,1.0
César Montes,MEX,0,0.3,4,2,85.5,1.0
Cole Palmer,ENG,2,0.92,4,5,100.0,1.0
Mateo Retegui,ITA,0,0.26,4,4,100.0,1.0
Antonio Rüdiger,GER,0,0.16,4,5,100.0,1.0
Eduardo Vargas,CHI,0,0.3,4,3,85.5,1.0
Rodrigo De Paul,ARG,0,0.1,4,5,95.0,1.0
Vinícius,BRA,2,0.73,4,3,90.0,1.0
Abde Ezzalzouli,MAR,0,0.35,4,4,83.3,1.0
Wout Weghorst,NED,1,0.39,4,6,100.0,1.0
Alexis Sánchez,CHI,0,0.64,4,3,85.5,1.0
Ante Budimir,CRO,0,0.52,4,3,100.0,1.0
Stephen Eustáquio,CAN,0,1.19,4,5,95.0,1.0
